ticker,sina_symbol,name,industry,exposure,attention,momentum,liquidity,low_volatility,z_exposure,z_attention,z_momentum,z_liquidity,z_low_volatility,event_id,decision_date,label
600060.SH,sh600060,海信视像,显示设备,0.82,0.5525874034646101,0.08752556237218823,19.29488339252067,-0.021970334504225537,1.8543417351003664,1.0491528528332759,1.1499100069516401,1.2931471254271947,0.908473625260972,UEFA_EURO_2024_OPEN,2024-04-15,0.05952505597041302
002878.SZ,sz002878,元隆雅图,IP衍生品,0.76,-0.24422534256138562,-0.16062884483937123,18.480755301701883,-0.032901703254918466,1.3788694953310419,-0.6260083161404512,-1.0467092554294215,0.2383188954688081,-0.2806485444024495,UEFA_EURO_2024_OPEN,2024-04-15,0.04640936139147156
002181.SZ,sz002181,粤传媒,传媒彩票,0.68,-0.37960241735140343,-0.07494145199063218,18.31413614840411,-0.028836889884243766,0.7449065089719422,-0.9106152328702838,-0.2882194917788095,0.02243814091396282,0.1615247830966516,UEFA_EURO_2024_OPEN,2024-04-15,-0.07820138803439691
605099.SH,sh605099,共创草坪,体育设施,0.58,-0.061178798375539856,0.06405163853028784,16.625399682862184,-0.015919366372719648,-0.047547223976933416,-0.24118457371884255,0.9421229526970482,-2.165579834270077,1.5667022988334738,UEFA_EURO_2024_OPEN,2024-04-15,0.012336965617561146
605299.SH,sh605299,舒华体育,体育消费,0.54,-0.07610816070004134,0.17253521126760574,17.72747385065965,-0.029797148769656376,-0.3645287171564828,-0.27257097933079333,1.902400500069212,-0.7376731488104096,0.057067129594839255,UEFA_EURO_2024_OPEN,2024-04-15,-0.1647901385754812
600158.SH,sh600158,中体产业,体育运营,0.62,0.4773281158062552,0.012224938875305513,18.591480819319777,-0.018181661782845693,0.2694342692026168,0.8909331996981255,0.48336210276091585,0.38178084338248874,1.320608173947406,UEFA_EURO_2024_OPEN,2024-04-15,0.0806478927661034
000558.SZ,sz000558,莱茵体育,体育运营,0.5,0.4537280456546853,-0.11654135338345861,18.56933903411816,-0.041258579766663375,-0.681510210336033,0.8413181285284732,-0.6564545182666999,0.353092753196517,-1.1897155931766914,UEFA_EURO_2024_OPEN,2024-04-15,-0.008860097141381917
002858.SZ,sz002858,力盛体育,体育赛事,0.48,-0.4319682967464189,-0.18325791855203621,19.000332063191376,-0.04646176567894374,-0.8400009569258081,-1.020705449397555,-1.2470178446083502,0.9115105490061176,-1.755721906044032,UEFA_EURO_2024_OPEN,2024-04-15,0.030891795205127526
300651.SZ,sz300651,金陵体育,体育器材,0.46,0.8715394395497107,-0.10694822888283384,17.431671109094125,-0.03552824575956132,-0.9984917035155828,1.7196944176860003,-0.5715378637479382,-1.1209311223666256,-0.5663657307004712,UEFA_EURO_2024_OPEN,2024-04-15,0.007137719040441137
002587.SZ,sz002587,奥拓电子,显示设备,0.42,-0.626661388908353,-0.11782945736434103,18.932710029673572,-0.03236186211691356,-1.315473196695133,-1.430014047287949,-0.6678565886475971,0.8238957980520831,-0.22192423640970416,UEFA_EURO_2024_OPEN,2024-04-15,-0.08406871169531505
