validation_num_trades,validation_net_return,validation_gross_return_mean,validation_win_rate,validation_total_cost,validation_cost_to_initial_cash,validation_avg_target_weight,full_num_trades,full_net_return,full_gross_return_mean,full_win_rate,full_total_cost,full_cost_to_initial_cash,full_avg_target_weight,full_stop_loss_rate,attention_lookback,momentum_lookback,entry_days_before_event,exit_days_before_event,top_k,stop_loss,stop_vol_multiplier,max_effective_stop_loss,min_exposure_for_trade,min_event_fit_for_trade,rankic_prior_weight,attention_z_cap,selection_score
4.0,0.019186997608000016,0.024470827306624865,0.75,1218.642392,0.001218642392,0.08236832986952052,8.0,0.11082020040000001,0.14124148064451514,0.875,2884.3995999999997,0.0028843996,0.08600095926348572,0.125,20,20,60,10,5,0.1,5.0,0.12,0.45,0.7,0.55,1.5,0.04802129804720001
4.0,0.019210626718636742,0.024673678536968446,0.75,1218.708739282173,0.001218708739282173,0.08251231283969272,8.0,0.11043142152043936,0.14134290625968693,0.875,2816.3493271188954,0.0028163493271188954,0.08469189852453052,0.125,20,20,60,10,5,0.1,4.0,0.12,0.45,0.7,0.55,1.0,0.04791077531537928
4.0,0.019186997608000016,0.024470827306624865,0.75,1218.642392,0.001218642392,0.08251231283969272,8.0,0.11042327110000001,0.14124148064451514,0.875,2816.3289,0.0028163288999999998,0.08469189852453052,0.125,20,20,60,10,5,0.08,5.0,0.12,0.45,0.7,0.55,1.0,0.04789258339720001
4.0,0.019186997608000016,0.024470827306624865,0.75,1218.642392,0.001218642392,0.08251231283969272,8.0,0.11042327110000001,0.14124148064451514,0.875,2816.3289,0.0028163288999999998,0.08469189852453052,0.125,20,20,60,10,5,0.1,5.0,0.12,0.45,0.7,0.55,1.0,0.04789258339720001
4.0,0.016010615494843904,0.024673678536968446,0.75,1445.2158277031317,0.0014452158277031316,0.09237224549864842,8.0,0.1071435634,0.14919019859323307,0.875,2857.4366,0.0028574366,0.08626748980696472,0.0,10,20,60,10,5,0.1,4.0,0.12,0.45,0.7,0.55,1.5,0.04711722781472275
4.0,0.015969060852000005,0.024470827306624865,0.75,1445.099148,0.001445099148,0.09237224549864842,8.0,0.1071435634,0.14919019859323307,0.875,2857.4366,0.0028574366,0.08626748980696472,0.0,10,20,60,10,5,0.08,5.0,0.12,0.45,0.7,0.55,1.5,0.0470902464668
4.0,0.015969060852000005,0.024470827306624865,0.75,1445.099148,0.001445099148,0.09237224549864842,8.0,0.1071435634,0.14919019859323307,0.875,2857.4366,0.0028574366,0.08626748980696472,0.0,10,20,60,10,5,0.1,5.0,0.12,0.45,0.7,0.55,1.5,0.0470902464668
4.0,0.016010615494843904,0.024673678536968446,0.75,1445.2158277031317,0.0014452158277031316,0.09237224549864842,8.0,0.10695236250000002,0.14919019859323307,0.875,2833.6375,0.0028336374999999997,0.08580294604161164,0.0,10,20,60,10,5,0.1,4.0,0.12,0.45,0.7,0.55,1.0,0.04705387736472276
4.0,0.015969060852000005,0.024470827306624865,0.75,1445.099148,0.001445099148,0.09237224549864842,8.0,0.10695236250000002,0.14919019859323307,0.875,2833.6375,0.0028336374999999997,0.08580294604161164,0.0,10,20,60,10,5,0.08,5.0,0.12,0.45,0.7,0.55,1.0,0.047026896016800004
4.0,0.015969060852000005,0.024470827306624865,0.75,1445.099148,0.001445099148,0.09237224549864842,8.0,0.10695236250000002,0.14919019859323307,0.875,2833.6375,0.0028336374999999997,0.08580294604161164,0.0,10,20,60,10,5,0.1,5.0,0.12,0.45,0.7,0.55,1.0,0.047026896016800004
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10143238669693876,6.0,0.09326494730000001,0.1469960073418581,1.0,2580.0526999999997,0.0025800526999999996,0.10747076309140426,0.0,20,20,60,10,3,0.08,4.0,0.12,0.45,0.7,0.55,1.5,0.04693800037000001
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10143238669693876,6.0,0.09326494730000001,0.1469960073418581,1.0,2580.0526999999997,0.0025800526999999996,0.10747076309140426,0.0,20,20,60,10,3,0.08,4.0,0.12,0.5,0.7,0.55,1.5,0.04693800037000001
3.0,0.02301614080000001,0.07262776974216645,1.0,1112.8591999999999,0.0011128592,0.10143238669693876,6.0,0.09326494730000001,0.1469960073418581,1.0,2580.0526999999997,0.0025800526999999996,0.10747076309140426,0.0,20,20,60,10,3,0.08,5.0,0.12,0.45,0.7,0.55,1.5,0.04693800037000001
