date,open,high,low,close,volume,sina_symbol,amount
2021-07-29,4.09,4.12,4.04,4.06,4226560,sz002181,17159833.599999998
2021-07-30,4.04,4.07,4.01,4.04,2683592,sz002181,10841711.68
2021-08-02,4.04,4.11,4.01,4.11,1884703,sz002181,7746129.330000001
2021-08-03,4.09,4.17,4.08,4.12,2602877,sz002181,10723853.24
2021-08-04,4.23,4.27,4.15,4.16,3877076,sz002181,16128636.16
2021-08-05,4.14,4.15,4.08,4.08,2467100,sz002181,10065768.0
2021-08-06,4.08,4.11,4.05,4.1,1864466,sz002181,7644310.6
2021-08-09,4.1,4.13,4.08,4.12,1637800,sz002181,6747736.0
2021-08-10,4.13,4.15,4.1,4.13,2092105,sz002181,8640393.65
2021-08-11,4.13,4.14,4.1,4.12,2303225,sz002181,9489287.0
2021-08-12,4.12,4.17,4.12,4.16,2795200,sz002181,11628032.0
2021-08-13,4.14,4.16,4.13,4.15,1792070,sz002181,7437090.500000001
2021-08-16,4.18,4.18,4.13,4.16,1378778,sz002181,5735716.48
2021-08-17,4.16,4.16,4.07,4.1,3425781,sz002181,14045702.1
2021-08-18,4.1,4.13,4.06,4.12,2483820,sz002181,10233338.4
2021-08-19,4.08,4.09,4.04,4.07,2508549,sz002181,10209794.430000002
2021-08-20,4.07,4.08,4.03,4.06,1910891,sz002181,7758217.459999999
2021-08-23,4.07,4.11,4.04,4.11,2725142,sz002181,11200333.620000001
2021-08-24,4.11,4.13,4.09,4.12,3047330,sz002181,12554999.6
2021-08-25,4.12,4.15,4.1,4.14,2561694,sz002181,10605413.159999998
2021-08-26,4.15,4.17,4.12,4.14,2246793,sz002181,9301723.02
2021-08-27,4.14,4.14,4.1,4.13,2038452,sz002181,8418806.76
2021-08-30,4.13,4.15,4.11,4.13,1921262,sz002181,7934812.06
2021-08-31,4.14,4.15,4.09,4.14,2585245,sz002181,10702914.299999999
2021-09-01,4.13,4.19,4.13,4.18,4761361,sz002181,19902488.98
2021-09-02,4.17,4.19,4.15,4.18,3035753,sz002181,12689447.54
2021-09-03,4.19,4.24,4.18,4.24,5486352,sz002181,23262132.48
2021-09-06,4.24,4.27,4.21,4.23,3145901,sz002181,13307161.23
2021-09-07,4.24,4.26,4.22,4.25,4019026,sz002181,17080860.5
2021-09-08,4.26,4.39,4.25,4.37,9425461,sz002181,41189264.57
2021-09-09,4.38,4.38,4.29,4.33,6140569,sz002181,26588663.77
2021-09-10,4.33,4.49,4.31,4.31,7821600,sz002181,33711096.0
2021-09-13,4.26,4.35,4.21,4.31,6272538,sz002181,27034638.779999997
2021-09-14,4.32,4.34,4.22,4.23,5001644,sz002181,21156954.12
2021-09-15,4.22,4.28,4.19,4.27,3502755,sz002181,14956763.849999998
2021-09-16,4.26,4.3,4.18,4.18,4770708,sz002181,19941559.439999998
2021-09-17,4.18,4.19,4.11,4.14,3346100,sz002181,13852853.999999998
2021-09-22,4.11,4.15,4.08,4.14,2339852,sz002181,9686987.28
2021-09-23,4.14,4.22,4.14,4.2,2859573,sz002181,12010206.6
2021-09-24,4.19,4.19,4.13,4.14,2535800,sz002181,10498212.0
2021-09-27,4.13,4.14,4.03,4.06,3628703,sz002181,14732534.179999998
2021-09-28,4.05,4.09,4.04,4.07,1697740,sz002181,6909801.800000001
2021-09-29,4.07,4.07,3.97,3.98,2851860,sz002181,11350402.8
2021-09-30,4.0,4.04,3.98,4.03,2781803,sz002181,11210666.09
2021-10-08,4.02,4.12,4.02,4.11,3672870,sz002181,15095495.700000001
2021-10-11,4.12,4.15,4.09,4.11,2043020,sz002181,8396812.200000001
2021-10-12,4.08,4.09,4.03,4.06,1849684,sz002181,7509717.039999999
2021-10-13,4.04,4.07,4.03,4.05,1556700,sz002181,6304635.0
